Date,Time,Open,High,Low,Close,Vol,OI
2025-05-13,15:54:00,22999,23012,22999,23007,166,0
2025-05-13,15:55:00,23008,23011,23005,23009,250,0
2025-05-13,15:56:00,23010,23010,23001,23008,189,0
2025-05-13,15:57:00,23007,23012,23005,23011,184,0
2025-05-13,15:58:00,23011,23016,23008,23012,248,0
2025-05-13,15:59:00,23012,23015,23001,23005,519,0
2025-05-13,16:00:00,23004,23010,22998,23007,358,0
2025-05-13,16:01:00,23007,23020,23005,23019,271,0
2025-05-13,16:02:00,23019,23026,23015,23023,191,0
2025-05-13,16:03:00,23024,23029,23023,23027,173,0
2025-05-13,16:04:00,23028,23032,23026,23030,220,0
2025-05-13,16:05:00,23029,23032,23026,23026,123,0
2025-05-13,16:06:00,23027,23029,23020,23020,147,0
2025-05-13,16:07:00,23020,23020,23007,23009,334,0
2025-05-13,16:08:00,23008,23024,23007,23024,314,0
2025-05-13,16:09:00,23025,23026,23011,23017,227,0
2025-05-13,16:10:00,23017,23017,23010,23012,228,0
2025-05-13,16:11:00,23011,23016,23009,23014,70,0
2025-05-13,16:12:00,23014,23015,23009,23012,63,0
2025-05-13,16:13:00,23011,23020,23010,23019,59,0
2025-05-13,16:14:00,23020,23022,23017,23017,57,0
2025-05-13,16:15:00,23018,23020,23016,23019,88,0
2025-05-13,16:16:00,23018,23022,23014,23022,213,0
